Project name,Impact,SA scenario,Total
Zhabuye,Climate change,2035_BAT_Fuel mix_15CCS,2.820180704878044
Fenix,Climate change,2035_BAT_Fuel mix_15CCS,20.49010104156333
Upper Rhine Graben,Climate change,2035_BAT_Fuel mix_15CCS,3.000882760397061
Salar de Arizaro,Climate change,2035_BAT_Fuel mix_15CCS,32.40758140517371
Salar de Centenario,Climate change,2035_BAT_Fuel mix_15CCS,20.137544196724733
Kachi,Climate change,2035_BAT_Fuel mix_15CCS,28.11641861023247
Salar del Hombre Muerto North,Climate change,2035_BAT_Fuel mix_15CCS,5.504043039333472
East Taijinar,Climate change,2035_BAT_Fuel mix_15CCS,12.837803889429253
Salar de Olaroz,Climate change,2035_BAT_Fuel mix_15CCS,2.901451149497465
Maricunga,Climate change,2035_BAT_Fuel mix_15CCS,4.599071253055538
Salar de Atacama,Climate change,2035_BAT_Fuel mix_15CCS,2.9737015791213
Lakkor Tso,Climate change,2035_BAT_Fuel mix_15CCS,27.876672361336876
Salar del Rincon,Climate change,2035_BAT_Fuel mix_15CCS,23.38439727753196
Silver Peak,Climate change,2035_BAT_Fuel mix_15CCS,1.7676187349078174
Salar de Tolillar,Climate change,2035_BAT_Fuel mix_15CCS,26.509391064574146
Tres Quebradas,Climate change,2035_BAT_Fuel mix_15CCS,4.005025057269613
Salar de Cauchari-Olaroz,Climate change,2035_BAT_Fuel mix_15CCS,3.9008641268086213
Pozuelos,Climate change,2035_BAT_Fuel mix_15CCS,35.545594775524116
Salar de Uyuni,Climate change,2035_BAT_Fuel mix_15CCS,21.84899150081304
Sal de los Angeles,Climate change,2035_BAT_Fuel mix_15CCS,27.354856457337476
Salar de Pastos Grandes,Climate change,2035_BAT_Fuel mix_15CCS,3.2367228108415964
Sal de Vida,Climate change,2035_BAT_Fuel mix_15CCS,2.052588326502472
Qinghai Yiliping,Climate change,2035_BAT_Fuel mix_15CCS,20.615322177482106
Chaerhan,Climate change,2035_BAT_Fuel mix_15CCS,21.458201262787377
Zhabuye,Water scarcity,2035_BAT_Fuel mix_15CCS,3.3597542361307307
Fenix,Water scarcity,2035_BAT_Fuel mix_15CCS,3.7828495666709063
Upper Rhine Graben,Water scarcity,2035_BAT_Fuel mix_15CCS,0.904629767044492
Salar de Arizaro,Water scarcity,2035_BAT_Fuel mix_15CCS,9.401197544366738
Salar de Centenario,Water scarcity,2035_BAT_Fuel mix_15CCS,4.088228475243373
Kachi,Water scarcity,2035_BAT_Fuel mix_15CCS,5.609902179596892
Salar del Hombre Muerto North,Water scarcity,2035_BAT_Fuel mix_15CCS,2.174991851640288
East Taijinar,Water scarcity,2035_BAT_Fuel mix_15CCS,6.577665402978354
Salar de Olaroz,Water scarcity,2035_BAT_Fuel mix_15CCS,2.020732066984136
Maricunga,Water scarcity,2035_BAT_Fuel mix_15CCS,15.7087180236148
Salar de Atacama,Water scarcity,2035_BAT_Fuel mix_15CCS,5.364236285654248
Lakkor Tso,Water scarcity,2035_BAT_Fuel mix_15CCS,9.405672203054108
Salar del Rincon,Water scarcity,2035_BAT_Fuel mix_15CCS,5.799646152637707
Silver Peak,Water scarcity,2035_BAT_Fuel mix_15CCS,3.4571267645440287
Salar de Tolillar,Water scarcity,2035_BAT_Fuel mix_15CCS,5.142330408160319
Tres Quebradas,Water scarcity,2035_BAT_Fuel mix_15CCS,7.545136679489919
Salar de Cauchari-Olaroz,Water scarcity,2035_BAT_Fuel mix_15CCS,1.5021452971481137
Pozuelos,Water scarcity,2035_BAT_Fuel mix_15CCS,16.39723638394821
Salar de Uyuni,Water scarcity,2035_BAT_Fuel mix_15CCS,7.480552490847584
Sal de los Angeles,Water scarcity,2035_BAT_Fuel mix_15CCS,4.814466459784106
Salar de Pastos Grandes,Water scarcity,2035_BAT_Fuel mix_15CCS,11.27342277409861
Sal de Vida,Water scarcity,2035_BAT_Fuel mix_15CCS,1.0659492997509452
Qinghai Yiliping,Water scarcity,2035_BAT_Fuel mix_15CCS,8.245861357507662
Chaerhan,Water scarcity,2035_BAT_Fuel mix_15CCS,6.144868086784498
Zhabuye,Climate change,2035_BAT_Biomass_15CCS,2.577068291172345
Fenix,Climate change,2035_BAT_Biomass_15CCS,19.417100383314718
Upper Rhine Graben,Climate change,2035_BAT_Biomass_15CCS,2.6784396138240707
Salar de Arizaro,Climate change,2035_BAT_Biomass_15CCS,30.185918951699545
Salar de Centenario,Climate change,2035_BAT_Biomass_15CCS,18.963789646687292
Kachi,Climate change,2035_BAT_Biomass_15CCS,26.70734695509292
Salar del Hombre Muerto North,Climate change,2035_BAT_Biomass_15CCS,5.230667997277826
East Taijinar,Climate change,2035_BAT_Biomass_15CCS,12.48545718333452
Salar de Olaroz,Climate change,2035_BAT_Biomass_15CCS,2.5277802303018326
Maricunga,Climate change,2035_BAT_Biomass_15CCS,4.2207601506252175
Salar de Atacama,Climate change,2035_BAT_Biomass_15CCS,2.6796127900104034
Lakkor Tso,Climate change,2035_BAT_Biomass_15CCS,27.622725908786627
Salar del Rincon,Climate change,2035_BAT_Biomass_15CCS,22.20499080026125
Silver Peak,Climate change,2035_BAT_Biomass_15CCS,1.5026637722856968
Salar de Tolillar,Climate change,2035_BAT_Biomass_15CCS,25.268616389667216
Tres Quebradas,Climate change,2035_BAT_Biomass_15CCS,3.7398989087541676
Salar de Cauchari-Olaroz,Climate change,2035_BAT_Biomass_15CCS,3.644617335953957
Pozuelos,Climate change,2035_BAT_Biomass_15CCS,33.92396157483078
Salar de Uyuni,Climate change,2035_BAT_Biomass_15CCS,18.570426267961125
Sal de los Angeles,Climate change,2035_BAT_Biomass_15CCS,26.493879451086308
Salar de Pastos Grandes,Climate change,2035_BAT_Biomass_15CCS,2.9699463291455075
Sal de Vida,Climate change,2035_BAT_Biomass_15CCS,1.7966040244718755
Qinghai Yiliping,Climate change,2035_BAT_Biomass_15CCS,20.361614431283698
Chaerhan,Climate change,2035_BAT_Biomass_15CCS,21.20446651229466
Zhabuye,Water scarcity,2035_BAT_Biomass_15CCS,3.3666427753791357
Fenix,Water scarcity,2035_BAT_Biomass_15CCS,3.841118076306524
Upper Rhine Graben,Water scarcity,2035_BAT_Biomass_15CCS,0.920344917131313
Salar de Arizaro,Water scarcity,2035_BAT_Biomass_15CCS,9.521842124827707
Salar de Centenario,Water scarcity,2035_BAT_Biomass_15CCS,4.151968288620928
Kachi,Water scarcity,2035_BAT_Biomass_15CCS,5.686420744707518
Salar del Hombre Muerto North,Water scarcity,2035_BAT_Biomass_15CCS,2.18954104627601
East Taijinar,Water scarcity,2035_BAT_Biomass_15CCS,6.594330810292296
Salar de Olaroz,Water scarcity,2035_BAT_Biomass_15CCS,2.037891737126337
Maricunga,Water scarcity,2035_BAT_Biomass_15CCS,15.729000662522683
Salar de Atacama,Water scarcity,2035_BAT_Biomass_15CCS,5.380168651791917
Lakkor Tso,Water scarcity,2035_BAT_Biomass_15CCS,9.419462039430346
Salar del Rincon,Water scarcity,2035_BAT_Biomass_15CCS,5.863692366724138
Silver Peak,Water scarcity,2035_BAT_Biomass_15CCS,3.4712085963757433
Salar de Tolillar,Water scarcity,2035_BAT_Biomass_15CCS,5.209709629135558
Tres Quebradas,Water scarcity,2035_BAT_Biomass_15CCS,7.559533882534094
Salar de Cauchari-Olaroz,Water scarcity,2035_BAT_Biomass_15CCS,1.515998493411601
Pozuelos,Water scarcity,2035_BAT_Biomass_15CCS,16.485297329404503
Salar de Uyuni,Water scarcity,2035_BAT_Biomass_15CCS,7.658593553588469
Sal de los Angeles,Water scarcity,2035_BAT_Biomass_15CCS,4.861220595698423
Salar de Pastos Grandes,Water scarcity,2035_BAT_Biomass_15CCS,11.287857453631819
Sal de Vida,Water scarcity,2035_BAT_Biomass_15CCS,1.0798504271717815
Qinghai Yiliping,Water scarcity,2035_BAT_Biomass_15CCS,8.259638404650385
Chaerhan,Water scarcity,2035_BAT_Biomass_15CCS,6.158646548107672
Zhabuye,Climate change,2035_BAT_NG_15CCS,2.779289047728273
Fenix,Climate change,2035_BAT_NG_15CCS,20.64786306264448
Upper Rhine Graben,Climate change,2035_BAT_NG_15CCS,3.0265040570892894
Salar de Arizaro,Climate change,2035_BAT_NG_15CCS,32.73421567339267
Salar de Centenario,Climate change,2035_BAT_NG_15CCS,20.3101192280797
Kachi,Climate change,2035_BAT_NG_15CCS,28.323592406905366
Salar del Hombre Muerto North,Climate change,2035_BAT_NG_15CCS,5.540641213400277
East Taijinar,Climate change,2035_BAT_NG_15CCS,12.85964495468687
Salar de Olaroz,Climate change,2035_BAT_NG_15CCS,2.918370828980354
Maricunga,Climate change,2035_BAT_NG_15CCS,4.651522531210236
Salar de Atacama,Climate change,2035_BAT_NG_15CCS,3.016480961537163
Lakkor Tso,Climate change,2035_BAT_NG_15CCS,27.91400287958928
Salar del Rincon,Climate change,2035_BAT_NG_15CCS,23.557797065073604
Silver Peak,Climate change,2035_BAT_NG_15CCS,1.802856085512993
Salar de Tolillar,Climate change,2035_BAT_NG_15CCS,26.691819135696253
Tres Quebradas,Climate change,2035_BAT_NG_15CCS,4.044002886348983
Salar de Cauchari-Olaroz,Climate change,2035_BAT_NG_15CCS,3.937786038800455
Pozuelos,Climate change,2035_BAT_NG_15CCS,35.784013776040425
Salar de Uyuni,Climate change,2035_BAT_NG_15CCS,22.33104714477354
Sal de los Angeles,Climate change,2035_BAT_NG_15CCS,27.481437726224048
Salar de Pastos Grandes,Climate change,2035_BAT_NG_15CCS,3.2753103557840024
Sal de Vida,Climate change,2035_BAT_NG_15CCS,2.090226478504271
Qinghai Yiliping,Climate change,2035_BAT_NG_15CCS,20.652619286392845
Chaerhan,Climate change,2035_BAT_NG_15CCS,21.49550218390403
Zhabuye,Water scarcity,2035_BAT_NG_15CCS,3.3537987334473205
Fenix,Water scarcity,2035_BAT_NG_15CCS,3.7629462558371065
Upper Rhine Graben,Water scarcity,2035_BAT_NG_15CCS,0.8982376248568773
Salar de Arizaro,Water scarcity,2035_BAT_NG_15CCS,9.359987219409248
Salar de Centenario,Water scarcity,2035_BAT_NG_15CCS,4.066456246083488
Kachi,Water scarcity,2035_BAT_NG_15CCS,5.583765012160226
Salar del Hombre Muerto North,Water scarcity,2035_BAT_NG_15CCS,2.169853113464382
East Taijinar,Water scarcity,2035_BAT_NG_15CCS,6.570564290937302
Salar de Olaroz,Water scarcity,2035_BAT_NG_15CCS,2.013083398081478
Maricunga,Water scarcity,2035_BAT_NG_15CCS,15.701640813578926
Salar de Atacama,Water scarcity,2035_BAT_NG_15CCS,5.358772488445757
Lakkor Tso,Water scarcity,2035_BAT_NG_15CCS,9.400961553341745
Salar del Rincon,Water scarcity,2035_BAT_NG_15CCS,5.777768967682771
Silver Peak,Water scarcity,2035_BAT_NG_15CCS,3.452141893718255
Salar de Tolillar,Water scarcity,2035_BAT_NG_15CCS,5.119314986614354
Tres Quebradas,Water scarcity,2035_BAT_NG_15CCS,7.540218735133687
Salar de Cauchari-Olaroz,Water scarcity,2035_BAT_NG_15CCS,1.4973778996512017
Pozuelos,Water scarcity,2035_BAT_NG_15CCS,16.367156244473865
Salar de Uyuni,Water scarcity,2035_BAT_NG_15CCS,7.4197379206698635
Sal de los Angeles,Water scarcity,2035_BAT_NG_15CCS,4.798495897116297
Salar de Pastos Grandes,Water scarcity,2035_BAT_NG_15CCS,11.26846227532463
Sal de Vida,Water scarcity,2035_BAT_NG_15CCS,1.0612010132834562
Qinghai Yiliping,Water scarcity,2035_BAT_NG_15CCS,8.24115517557285
Chaerhan,Water scarcity,2035_BAT_NG_15CCS,6.140161407419255
Zhabuye,Climate change,2035_BAT_Fuel mix_0CCS,2.9874337247123046
Fenix,Climate change,2035_BAT_Fuel mix_0CCS,20.581634664845495
Upper Rhine Graben,Climate change,2035_BAT_Fuel mix_0CCS,3.070042077380679
Salar de Arizaro,Climate change,2035_BAT_Fuel mix_0CCS,32.59713021566265
Salar de Centenario,Climate change,2035_BAT_Fuel mix_0CCS,20.23767411844484
Kachi,Climate change,2035_BAT_Fuel mix_0CCS,28.23662184271687
Salar del Hombre Muerto North,Climate change,2035_BAT_Fuel mix_0CCS,5.5342381795205435
East Taijinar,Climate change,2035_BAT_Fuel mix_0CCS,12.92514686620775
Salar de Olaroz,Climate change,2035_BAT_Fuel mix_0CCS,3.0060160726915295
Maricunga,Climate change,2035_BAT_Fuel mix_0CCS,4.637406565934592
Salar de Atacama,Climate change,2035_BAT_Fuel mix_0CCS,2.9996688818748596
Lakkor Tso,Climate change,2035_BAT_Fuel mix_0CCS,27.89834881836196
Salar del Rincon,Climate change,2035_BAT_Fuel mix_0CCS,23.485021290478393
Silver Peak,Climate change,2035_BAT_Fuel mix_0CCS,1.7973304114494688
Salar de Tolillar,Climate change,2035_BAT_Fuel mix_0CCS,26.615239799459417
Tres Quebradas,Climate change,2035_BAT_Fuel mix_0CCS,4.027648374208396
Salar de Cauchari-Olaroz,Climate change,2035_BAT_Fuel mix_0CCS,3.924164594147901
Pozuelos,Climate change,2035_BAT_Fuel mix_0CCS,35.68394522175907
Salar de Uyuni,Climate change,2035_BAT_Fuel mix_0CCS,22.12865036299227
Sal de los Angeles,Climate change,2035_BAT_Fuel mix_0CCS,27.428316920375337
Salar de Pastos Grandes,Climate change,2035_BAT_Fuel mix_0CCS,3.2606969528901266
Sal de Vida,Climate change,2035_BAT_Fuel mix_0CCS,2.0744233018924763
Qinghai Yiliping,Climate change,2035_BAT_Fuel mix_0CCS,20.636975076564553
