Impact category,LCI dataset,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2025_NationalPlans 2026-05-29,lithium_baseline_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,lithium_optimized_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,lithium_optimized+elec-heat_boiler_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29,lithium_optimized+elec-heat_heatpump_ei_cutoff_3.10_remind_SSP2-NDC_2035_NationalPlans 2026-05-29
Climate change,"market for quicklime, milled, packed (prospective)|quicklime, milled, packed|GLO",1.2172174420554596,0.9625461602826382,0.9625461602826382,0.9625461602826382,0.9625461601833415
Climate change,"diesel, burned in diesel-electric generating set, 10MW|diesel, burned in diesel-electric generating set, 10MW|GLO",0.09755994814787004,0.08792989049283827,0.08792989049283827,0.08792989049283827,0.08792989049190414
Climate change,"treatment of salt tailing from potash mine, residual material landfill|salt tailing from potash mine|RoW",-0.006760598805300139,-0.00597095297010523,-0.00597095297010523,-0.00597095297010523,-0.005970952969697389
Climate change,"treatment of waste gypsum, inert material landfill|waste gypsum|RoW",-0.0060677327425857665,-0.005451654517211766,-0.005451654517211766,-0.005451654517211766,-0.005451654517406097
Climate change,"market for wastewater, average|wastewater, average|RoW",-0.3974932696033209,-0.3395315549917738,-0.3395315549917738,-0.3395315549917738,-0.3395315549530469
Climate change,"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction|heat, district or industrial, other than natural gas|RoW",0.035287908524952796,0.03234477381057736,0.03234477381057736,0.03234477381057736,0.032344773810051505
Climate change,"heat production, natural gas, at industrial furnace >100kW|heat, district or industrial, natural gas|EUR",0.06960388251978485,0.069064897489089,0.069064897489089,0.069064897489089,0.06906489748888776
Climate change,"heat production, natural gas, at industrial furnace >100kW|heat, district or industrial, natural gas|CHA",0.07253060841882329,0.0719041487613846,0.0719041487613846,0.0719041487613846,0.07190414875420816
Climate change,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical|electricity, high voltage|AR",0.3974308298895985,0.3954836354332036,0.3954836354332036,0.3954836354332036,0.3954836354313979
Climate change,"market for solvent, organic|solvent, organic|GLO",1.1380291086746213,1.0627114624232217,1.0627114624232217,1.0627114624232217,1.0627114623863547
Climate change,"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction|electricity, high voltage|RoW",0.7753044752712602,0.7106413918939632,0.7106413918939632,0.7106413918939632,0.7106413918830328
Climate change,"heat production, light fuel oil, at industrial furnace 1MW|heat, district or industrial, other than natural gas|LAM",0.09416629746746247,0.09335901915084562,0.09335901915084562,0.09335901915084562,0.09335901915051192
Climate change,"market for electricity, medium voltage|electricity, medium voltage|AR",0.3363954999299139,0.1355651854210139,0.1355651854210139,0.1355651854210139,0.13556518541915705
Climate change,"market for soda ash, light (prospective)|soda ash, light|GLO",1.2164368875380704,0.706605458144346,0.706605458144346,0.706605458144346,0.7066054580112139
Climate change,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical|heat, district or industrial, natural gas|LAM",0.024279489822482497,0.02417131214851274,0.02417131214851274,0.02417131214851274,0.024171312148374535
Climate change,market for cationic resin|cationic resin|RoW,1.6899295332323128,1.5256707206118962,1.5256707206118962,1.5256707206118962,1.525670720568997
Climate change,"heat production, natural gas, at industrial furnace >100kW|heat, district or industrial, natural gas|LAM",0.07636593353780975,0.07583832331362506,0.07583832331362506,0.07583832331362506,0.0758383233130698
Climate change,market for calcium chloride|calcium chloride|RoW,0.6927125532101441,0.6152401302313059,0.6152401302313059,0.6152401302313059,0.6152401301980877
Climate change,"heat production, propane, at industrial furnace >100kW|heat, district or industrial, other than natural gas|RoW",0.08854277562311201,0.08549316531474316,0.08549316531474316,0.08549316531474316,0.0854931653116743
Climate change,"market for hazardous waste, for underground deposit|hazardous waste, for underground deposit|RoW",-0.21570707667588512,-0.18086365507260066,-0.18086365507260066,-0.18086365507260066,-0.1808636549266297
Climate change,"market for electricity, medium voltage|electricity, medium voltage|BO",0.30917634343048545,0.09988141971110236,0.09988141971110236,0.09988141971110236,0.09988141970240974
Climate change,"transport, freight, lorry >32 metric ton, EURO3|transport, freight, lorry >32 metric ton, EURO3|RoW",0.10822837749541987,0.08955382189616491,0.08955382189616491,0.08955382189616491,0.08955382189401041
Climate change,"market for electricity, medium voltage|electricity, medium voltage|US-WECC",0.36499163257467454,0.010778309619529816,0.010778309619529816,0.010778309619529816,0.010778309617904859
Climate change,"market for hydrochloric acid, without water, in 30% solution state|hydrochloric acid, without water, in 30% solution state|RoW",0.8173760711396749,0.5613729475629055,0.5613729475629055,0.5613729475629055,0.5613729472445731
Climate change,"market for sodium hydroxide, without water, in 50% solution state (prospective)|sodium hydroxide, without water, in 50% solution state|GLO",1.142278842539967,0.6548122371924828,0.6548122371924828,0.6548122371924828,0.6548122370326491
Climate change,"market for electricity, medium voltage|electricity, medium voltage|CN-NWG",0.678593226480572,0.34860216355763174,0.34860216355763174,0.34860216355763174,0.34860216349616
Climate change,"treatment of spent solvent mixture, hazardous waste incineration|spent solvent mixture|RoW",-1.9847884979665926,-1.954218942960809,-1.954218942960809,-1.954218942960809,-1.954218942947898
Climate change,"market for steam, in chemical industry|steam, in chemical industry|RoW",0.3391921276171128,0.325359817367277,0.325359817367277,0.325359817367277,0.3253598173721577
