Impact,Lithium scenario,IAM scenario,Year,Country,Intensity,Total
Climate change,S&P-Baseline,SSP2-NDC,2020,World,10.65014765753683,1.8837874675174575
Climate change,S&P-Baseline,SSP2-NDC,2020,AR,21.14995632905498,0.6709400646266113
Climate change,S&P-Baseline,SSP2-NDC,2020,CL,3.638363712440175,0.4082244085357877
Climate change,S&P-Baseline,SSP2-NDC,2020,CN,33.833012162201996,0.7766706271955094
Climate change,S&P-Baseline,SSP2-NDC,2020,US,2.795243458957944,0.027952434589579446
Climate change,S&P-Baseline,SSP2-NDC,2025,World,10.065708005168512,4.6197029912289125
Climate change,S&P-Baseline,SSP2-NDC,2025,AR,13.394355893080663,1.4953726806153114
Climate change,S&P-Baseline,SSP2-NDC,2025,CL,3.3012611733629416,0.8999931223433786
Climate change,S&P-Baseline,SSP2-NDC,2025,CN,31.560354185341488,2.2124313249591356
Climate change,S&P-Baseline,SSP2-NDC,2025,US,2.593868755074171,0.011905857585790445
Climate change,S&P-Baseline,SSP2-NDC,2030,World,11.563048577105736,7.050649811230262
Climate change,S&P-Baseline,SSP2-NDC,2030,AR,16.04389310758806,2.9686015416970197
Climate change,S&P-Baseline,SSP2-NDC,2030,CL,3.0430502885694124,0.969494520586195
Climate change,S&P-Baseline,SSP2-NDC,2030,CN,30.596546279422693,3.1022450203632252
Climate change,S&P-Baseline,SSP2-NDC,2030,US,2.173926953565666,0.010308761613808387
Climate change,S&P-Baseline,SSP2-NDC,2035,World,12.809285408624321,8.47741565056493
Climate change,S&P-Baseline,SSP2-NDC,2035,AR,19.144236454379612,4.651073102355073
Climate change,S&P-Baseline,SSP2-NDC,2035,CL,2.914849762010186,0.902545335759548
Climate change,S&P-Baseline,SSP2-NDC,2035,CN,28.688162902850202,2.9087502130457876
Climate change,S&P-Baseline,SSP2-NDC,2035,US,1.9192493230873278,0.01504691469300465
Climate change,S&P-Baseline,SSP2-2°C,2020,World,10.65014765753683,1.8837874675174575
Climate change,S&P-Baseline,SSP2-2°C,2020,AR,21.14995632905498,0.6709400646266113
Climate change,S&P-Baseline,SSP2-2°C,2020,CL,3.638363712440175,0.4082244085357877
Climate change,S&P-Baseline,SSP2-2°C,2020,CN,33.833012162201996,0.7766706271955094
Climate change,S&P-Baseline,SSP2-2°C,2020,US,2.795243458957944,0.027952434589579446
Climate change,S&P-Baseline,SSP2-2°C,2025,World,10.010645266141426,4.594431693863831
Climate change,S&P-Baseline,SSP2-2°C,2025,AR,13.383466725503085,1.4941569921686155
Climate change,S&P-Baseline,SSP2-2°C,2025,CL,3.248834089010264,0.8857003981800672
Climate change,S&P-Baseline,SSP2-2°C,2025,CN,31.419163560197337,2.20253363623153
Climate change,S&P-Baseline,SSP2-2°C,2025,US,2.6232377852654665,0.012040661434368492
Climate change,S&P-Baseline,SSP2-2°C,2030,World,11.400021599124573,6.951242970217402
Climate change,S&P-Baseline,SSP2-2°C,2030,AR,16.081472690214213,2.975554891870336
Climate change,S&P-Baseline,SSP2-2°C,2030,CL,2.9946601498959993,0.9540777611358162
Climate change,S&P-Baseline,SSP2-2°C,2030,CN,29.69439632401775,3.0107742320848074
Climate change,S&P-Baseline,SSP2-2°C,2030,US,2.285137671279723,0.010836122837208447
Climate change,S&P-Baseline,SSP2-2°C,2035,World,12.634360655969955,8.361647300612724
Climate change,S&P-Baseline,SSP2-2°C,2035,AR,19.277066832446486,4.683344109876042
Climate change,S&P-Baseline,SSP2-2°C,2035,CL,2.8245050309918445,0.8745712642812218
Climate change,S&P-Baseline,SSP2-2°C,2035,CN,27.49547725151807,2.7878214294859203
Climate change,S&P-Baseline,SSP2-2°C,2035,US,2.02938881069787,0.015910408275871302
Climate change,S&P-Ambitious,SSP2-NDC,2020,World,10.65014765753683,1.8837874675174575
Climate change,S&P-Ambitious,SSP2-NDC,2020,AR,21.14995632905498,0.6709400646266113
Climate change,S&P-Ambitious,SSP2-NDC,2020,CL,3.638363712440175,0.4082244085357877
Climate change,S&P-Ambitious,SSP2-NDC,2020,CN,33.833012162201996,0.7766706271955094
Climate change,S&P-Ambitious,SSP2-NDC,2020,US,2.795243458957944,0.027952434589579446
