Production scenario,Project scenario,Impact,Country,Intensity,Total,GLO intensity
Operating,2025,Climate change,World,14.21438862539833,6.975531405898119,14.21438862539833
Operating,2025,Water scarcity,World,6.251765246301234,3.067974709791965,6.251765246301234
Operating,2025,Climate change,AR,19.850638962400993,2.4237034653922738,4.93890156392676
Operating,2025,Water scarcity,AR,4.745000691610265,0.5793503494435386,1.1805711333028523
Operating,2025,Climate change,CL,5.169072761717064,1.4513774191076791,2.9575442323835324
Operating,2025,Water scarcity,CL,5.19640514780317,1.459051833805322,2.973182770386892
Operating,2025,Climate change,CN,36.51828135279054,3.0858805922719794,6.288252957049182
Operating,2025,Water scarcity,CN,12.053029396954656,1.0185093086617514,2.0754672711619593
Operating,2025,Climate change,US,4.340171419666315,0.014569955455819817,0.029689925692062805
Operating,2025,Water scarcity,US,3.2955832318586995,0.011063272909349652,0.022544183582826238
Operating,2035 Background,Climate change,World,17.10446119714038,14.497146930669587,17.10446119714038
Operating,2035 Background,Water scarcity,World,9.54093091545346,8.086561496589042,9.54093091545346
Operating,2035 Background,Climate change,AR,20.963343502415547,7.810375778725468,9.215073150681281
Operating,2035 Background,Water scarcity,AR,12.257263621444551,4.566725479232461,5.388051809854711
Operating,2035 Background,Climate change,CL,3.590957115557061,1.0786588802852612,1.2726558578059461
Operating,2035 Background,Water scarcity,CL,5.033567049731813,1.5119929375325416,1.7839251167182015
Operating,2035 Background,Climate change,CN,33.507171012539104,5.5879992865539,6.593001879859869
Operating,2035 Background,Water scarcity,CN,11.89562566579902,1.9838364661917192,2.3406297818270856
Operating,2035 Background,Climate change,US,2.565430019549907,0.020112971353271274,0.02373029256835538
Operating,2035 Background,Water scarcity,US,3.0620609594049264,0.024006557921734624,0.0283241413233195
Operating,2035 +Optimized,Climate change,World,12.141908656130225,10.291059845610178,12.141908656130225
Operating,2035 +Optimized,Water scarcity,World,7.107706584121785,6.024245107897827,7.107706584121785
Operating,2035 +Optimized,Climate change,AR,14.826172656512082,5.523831625154675,6.517293653974931
Operating,2035 +Optimized,Water scarcity,AR,8.223326485548217,3.0637894187001558,3.6148124509589743
Operating,2035 +Optimized,Climate change,CL,3.0051025564668117,0.9026787161166139,1.0650256320874574
Operating,2035 +Optimized,Water scarcity,CL,5.4292890411559345,1.6308607007605018,1.9241712667673694
Operating,2035 +Optimized,Climate change,CN,23.084125014552423,3.8497452997081614,4.542122626792641
Operating,2035 +Optimized,Water scarcity,CN,7.809710251459062,1.3024273310633907,1.5366691013622735
Operating,2035 +Optimized,Climate change,US,1.8882894688715093,0.014804189435952634,0.017466725347638584
Operating,2035 +Optimized,Water scarcity,US,3.4652556911561727,0.027167604618664395,0.03205370279003816
Operating,2035 +ElecHeat (electric boiler),Climate change,World,11.51436881106274,9.759178879940594,11.51436881106274
Operating,2035 +ElecHeat (electric boiler),Water scarcity,World,14.227960630754954,12.059125008995979,14.227960630754954
Operating,2035 +ElecHeat (electric boiler),Climate change,AR,10.835708216504102,4.037092317347583,4.763164036453338
Operating,2035 +ElecHeat (electric boiler),Water scarcity,AR,22.694427027935248,8.455330761078919,9.976023392982333
Operating,2035 +ElecHeat (electric boiler),Climate change,CL,2.2224658384110696,0.6675887334735939,0.787654677293098
Operating,2035 +ElecHeat (electric boiler),Water scarcity,CL,5.671255874314594,1.7035431820383666,2.009925704290456
Operating,2035 +ElecHeat (electric boiler),Climate change,CN,30.245383621000286,5.044030187820122,5.951199849002921
Operating,2035 +ElecHeat (electric boiler),Water scarcity,CN,11.228849567723758,1.8726380496216832,2.2094323116971624
Operating,2035 +ElecHeat (electric boiler),Climate change,US,1.3351627668032422,0.01046767609173742,0.012350289363252467
Operating,2035 +ElecHeat (electric boiler),Water scarcity,US,3.5220538552376954,0.027612902225063532,0.03257908724439036
Operating,2035 +ElecHeat (heat pumps),Climate change,World,5.635481539836389,4.776438320181814,5.635481539836389
Operating,2035 +ElecHeat (heat pumps),Water scarcity,World,7.137698246998971,6.049664999142244,7.137698246998971
Operating,2035 +ElecHeat (heat pumps),Climate change,AR,6.902490721646658,2.5716816756360603,3.0341990491423054
Operating,2035 +ElecHeat (heat pumps),Water scarcity,AR,8.018236619541533,2.9873784720524474,3.5246589829543473
Operating,2035 +ElecHeat (heat pumps),Climate change,CL,2.106751544788911,0.6328302425267827,0.7466448660168438
Operating,2035 +ElecHeat (heat pumps),Water scarcity,CL,5.47058357674733,1.6432648359505164,1.938806287717101
