Production scenario,Project scenario,Impact,Electricity,Heat,Reagents,Direct emissions,Other,Total
Operating,2025,Climate change,1.5874349050932852,6.815241858336756,4.597463159427829,0.0,1.2142486567487618,14.21438857960663
Operating,2025,Water scarcity,0.436877175223453,0.24912066010243133,1.1835725805982493,3.7294486013484325,0.6527463680828812,6.251765385355447
Operating,2035 Background,Climate change,0.9559491341229533,10.959663857859523,3.8932931041647794,0.0,1.295555191222892,17.10446128737015
Operating,2035 Background,Water scarcity,1.0468288706457471,2.859493122438667,1.2888307434918502,3.790687924002173,0.555090362905929,9.540931023484367
Operating,2035 +Optimized,Climate change,0.305689655908545,8.304001889695014,2.737765737008749,0.0,0.7944507535982326,12.14190803621054
Operating,2035 +Optimized,Water scarcity,0.48770704615623434,1.9760491187693663,0.930335882949542,3.365439794396166,0.3481745406202653,7.107706382891574
Operating,2035 +ElecHeat (electric boiler),Climate change,0.305689655908545,7.6764619981855695,2.737765737008749,0.0,0.7944507535982326,11.514368144701097
Operating,2035 +ElecHeat (electric boiler),Water scarcity,0.48770704615623434,9.096302854268261,0.930335882949542,3.365439794396166,0.3481745406202653,14.227960118390468
Operating,2035 +ElecHeat (heat pumps),Climate change,0.3056896558754986,1.7975751408589127,2.7377657363246333,0.0,0.7944507535625165,5.635481286621561
Operating,2035 +ElecHeat (heat pumps),Water scarcity,0.4877070461398535,2.0060407953742656,0.9303358826839982,3.365439794396166,0.3481745406045153,7.137698059198798
Operating+Announced,2035 Background,Climate change,1.1864779959905838,11.667745148230573,5.756596147889488,0.0,1.387724153257659,19.998543445368302
Operating+Announced,2035 Background,Water scarcity,0.9212708528470237,2.2105326518550688,1.9385666202306964,4.31334285701492,0.5350021632134097,9.918715145161118
Operating+Announced,2035 +Optimized,Climate change,0.46684398366654795,8.53438329514077,3.9910077776640174,0.0,0.7622244438462341,13.754459500317571
Operating+Announced,2035 +Optimized,Water scarcity,0.4237273127024033,1.5279866722692348,1.3544330986841142,3.3863546034755325,0.33955245424677705,7.032054141378063
Operating+Announced,2035 +ElecHeat (electric boiler),Climate change,0.46684398366654795,9.830661918643225,3.9910077776640174,0.0,0.7622244438462341,15.050738123820024
Operating+Announced,2035 +ElecHeat (electric boiler),Water scarcity,0.4237273127024033,7.923075675599814,1.3544330986841142,3.3863546034755325,0.33955245424677705,13.427143144708639
Operating+Announced,2035 +ElecHeat (heat pumps),Climate change,0.46684398363681573,2.2758146512093504,3.9910077766637557,0.0,0.7622244438124285,7.495890855322351
Operating+Announced,2035 +ElecHeat (heat pumps),Water scarcity,0.42372731268806385,1.7476416773257357,1.3544330982959258,3.3863546034755325,0.33955245423186825,7.251709146017126
