Market scenario,Li scenario,Impact,Electricity,Heat,Reagents,Direct emissions,Other,Total
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2025,Climate change,1.377777415678996,6.231960864021232,4.410025675262683,0.0,1.084182290864917,13.103946245827828
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2025,Water scarcity,0.5142315993227454,0.11803637399881478,1.1191899708953976,3.420218302690292,0.42202457778365843,5.593700824690909
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2035,Climate change,0.8438911082279171,9.339711830602347,3.382851804700331,0.0,1.1488802204609136,14.71533496399151
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2035,Water scarcity,1.0025171605660455,0.1482885602293337,1.088640438901535,3.0536706035325816,0.4093659955030382,5.702482758732534
S&P-Baseline,lithium_optimized_S&P-Baseline_remind SSP2-NDC 2035,Climate change,0.31163898593753936,6.519245512529471,2.3179658852026486,0.0,0.7342082223967163,9.883058606066376
S&P-Baseline,lithium_optimized_S&P-Baseline_remind SSP2-NDC 2035,Water scarcity,0.45600161239682213,0.10339613421647888,0.8127959230887712,2.9027636906599277,0.29492312865402354,4.569880489016024
S&P-Baseline,lithium_optimized+elec-heat_S&P-Baseline_remind SSP2-NDC 2035,Climate change,0.31163898593753936,1.3891443777979795,2.3179658852026486,0.0,0.7342082223967163,4.752957471334884
S&P-Baseline,lithium_optimized+elec-heat_S&P-Baseline_remind SSP2-NDC 2035,Water scarcity,0.45600161239682213,1.8226415614366995,0.8127959230887712,2.9027636906599277,0.29492312865402354,6.289125916236244
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,0.937963502457556,10.839498795862015,4.335078614665421,0.0,1.177265452506594,17.289806365491586
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,1.1998608865327829,0.1689076925620178,1.437053979428451,3.788078757269324,0.4029595238046266,6.996860839597202
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,0.343641636975706,7.211521647397,2.917144136456653,0.0,0.6982443990366137,11.170551819865974
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,0.5760499405472804,0.11329919858036439,1.0129554295544456,3.2884270975415513,0.28399381439711363,5.274725480620756
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,0.343641636975706,1.57410872754335,2.917144136456653,0.0,0.6982443990366137,5.533138900012323
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,0.5760499405472804,1.9069539118805958,1.0129554295544456,3.2884270975415513,0.28399381439711363,7.068380193920987
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,0.9486713457101249,11.939687730763353,5.091087949275173,0.0,1.2611102776844672,19.240557303433118
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,1.3780658877971472,0.18821908982916866,1.776852893077901,4.179414093946098,0.41336543394980657,7.935917398600122
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,0.3562007181426604,8.076985308266881,3.451209766935673,0.0,0.7125759252707544,12.596971718615968
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,0.6557517686501995,0.12828776679175005,1.2568151012142377,3.2944260878622744,0.29211753627046433,5.627398260788927
S&P-Very Ambitious,lithium_optimized+elec-heat_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,0.3562007181426604,1.6707370513018835,3.451209766935673,0.0,0.7125759252707544,6.190723461650971
S&P-Very Ambitious,lithium_optimized+elec-heat_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,0.6557517686501995,2.404049800663271,1.2568151012142377,3.2944260878622744,0.29211753627046433,7.903160294660447
