Market scenario,Li scenario,Impact,Technology,Total
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2025,Climate change,Chemical-based,3.462125898301862
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2025,Climate change,DLE,8.659396021804326
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2025,Climate change,Ion-exchanger,0.9824243587516857
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2025,Water scarcity,Chemical-based,3.137547065141294
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2025,Water scarcity,DLE,2.1992108016730922
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2025,Water scarcity,Ion-exchanger,0.2569428585953128
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2035,Climate change,Chemical-based,2.1028639402864906
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2035,Climate change,DLE,12.043275443365108
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2035,Climate change,Ion-exchanger,0.5691956422033767
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2035,Water scarcity,Chemical-based,2.406689218938371
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2035,Water scarcity,DLE,3.0873527208778158
S&P-Baseline,lithium_baseline_S&P-Baseline_remind SSP2-NDC 2035,Water scarcity,Ion-exchanger,0.2084407522165773
S&P-Baseline,lithium_optimized_S&P-Baseline_remind SSP2-NDC 2035,Climate change,Chemical-based,1.683901836197375
S&P-Baseline,lithium_optimized_S&P-Baseline_remind SSP2-NDC 2035,Climate change,DLE,7.9728342963069245
S&P-Baseline,lithium_optimized_S&P-Baseline_remind SSP2-NDC 2035,Climate change,Ion-exchanger,0.22632277213563107
S&P-Baseline,lithium_optimized_S&P-Baseline_remind SSP2-NDC 2035,Water scarcity,Chemical-based,2.553346334512524
S&P-Baseline,lithium_optimized_S&P-Baseline_remind SSP2-NDC 2035,Water scarcity,DLE,1.8146368140382778
S&P-Baseline,lithium_optimized_S&P-Baseline_remind SSP2-NDC 2035,Water scarcity,Ion-exchanger,0.20189739633967083
S&P-Baseline,lithium_optimized+elec-heat_S&P-Baseline_remind SSP2-NDC 2035,Climate change,Chemical-based,1.2705210647622327
S&P-Baseline,lithium_optimized+elec-heat_S&P-Baseline_remind SSP2-NDC 2035,Climate change,DLE,3.295026031576508
S&P-Baseline,lithium_optimized+elec-heat_S&P-Baseline_remind SSP2-NDC 2035,Climate change,Ion-exchanger,0.18741052338204645
S&P-Baseline,lithium_optimized+elec-heat_S&P-Baseline_remind SSP2-NDC 2035,Water scarcity,Chemical-based,2.5858332003504394
S&P-Baseline,lithium_optimized+elec-heat_S&P-Baseline_remind SSP2-NDC 2035,Water scarcity,DLE,3.4869310299152505
S&P-Baseline,lithium_optimized+elec-heat_S&P-Baseline_remind SSP2-NDC 2035,Water scarcity,Ion-exchanger,0.21636178868951142
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,Chemical-based,2.0420049574453785
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,DLE,14.484787308296847
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,Ion-exchanger,0.3916037075063315
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,Geothermal,0.3714102918263361
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,Chemical-based,2.5767307541141937
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,DLE,4.206739567015148
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,Ion-exchanger,0.14340617761485738
S&P-Ambitious,lithium_baseline_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,Geothermal,0.06998427233367653
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,Chemical-based,1.5999746411042524
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,DLE,9.348072510517053
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,Ion-exchanger,0.1557089163900454
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,Geothermal,0.06679616190507709
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,Chemical-based,2.6960813898104767
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,DLE,2.4196106426312123
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,Ion-exchanger,0.13890438204416264
S&P-Ambitious,lithium_optimized_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,Geothermal,0.020129181412304204
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,Chemical-based,1.1932139507810775
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,DLE,4.159658219119017
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,Ion-exchanger,0.12893748711429615
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Climate change,Geothermal,0.05132945797777448
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,Chemical-based,2.769778204587282
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,DLE,4.128755408306417
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,Ion-exchanger,0.14885581043018653
S&P-Ambitious,lithium_optimized+elec-heat_S&P-Ambitious_remind SSP2-NDC 2035,Water scarcity,Geothermal,0.020990941885342736
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,Chemical-based,1.9729096382329239
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,DLE,16.57141576893581
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,Ion-exchanger,0.357328840766891
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,Geothermal,0.3389028410183057
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,Chemical-based,2.3827285387432857
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,DLE,5.358475154916902
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,Ion-exchanger,0.13085464264941707
S&P-Very Ambitious,lithium_baseline_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,Geothermal,0.06385894317535977
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,Chemical-based,1.5385682332613078
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,DLE,10.85537345970875
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,Ion-exchanger,0.14208059199701037
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,Geothermal,0.06094987009496802
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,Chemical-based,2.4911733302853754
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,DLE,2.9911108047879407
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,Ion-exchanger,0.12674686388784887
S&P-Very Ambitious,lithium_optimized_S&P-Very Ambitious_remind SSP2-NDC 2035,Water scarcity,Geothermal,0.018367387544533948
S&P-Very Ambitious,lithium_optimized+elec-heat_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,Chemical-based,1.14948265104974
S&P-Very Ambitious,lithium_optimized+elec-heat_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,DLE,4.876751858815315
S&P-Very Ambitious,lithium_optimized+elec-heat_S&P-Very Ambitious_remind SSP2-NDC 2035,Climate change,Ion-exchanger,0.11765231513085835
