Impact,Lithium scenario,Year,Country,Project name,Intensity
Climate change,S&P-Baseline,2020,US,Silver Peak,2.795243548509153
Climate change,S&P-Baseline,2020,AR,Salar de Olaroz,7.050940058806722
Climate change,S&P-Baseline,2020,AR,Fenix,29.63884386985609
Climate change,S&P-Baseline,2020,CL,Salar de Atacama,3.6383637584400708
Climate change,S&P-Baseline,2020,CN,East Taijinar,29.159056638264993
Climate change,S&P-Baseline,2020,CN,Chaerhan,37.10567842815364
Climate change,S&P-Baseline,2025,CL,Salar de Atacama,3.301261222457792
Climate change,S&P-Baseline,2025,CN,East Taijinar,27.53546183893031
Climate change,S&P-Baseline,2025,CN,Zhabuye,17.531395025675558
Climate change,S&P-Baseline,2025,CN,Chaerhan,35.34815468113553
Climate change,S&P-Baseline,2025,US,Silver Peak,2.5938688378930097
Climate change,S&P-Baseline,2025,AR,Salar de Olaroz,6.882718524075722
Climate change,S&P-Baseline,2025,AR,Fenix,28.969884351723408
Climate change,S&P-Baseline,2025,AR,Salar de Cauchari-Olaroz,5.038733423271198
Climate change,S&P-Baseline,2025,AR,Sal de los Angeles,39.89913197789623
Climate change,S&P-Baseline,2030,US,Silver Peak,2.173927026171204
Climate change,S&P-Baseline,2030,CL,Salar de Atacama,3.043050335035354
Climate change,S&P-Baseline,2030,AR,Salar de Olaroz,6.6108571709547554
Climate change,S&P-Baseline,2030,AR,Fenix,27.760021620941327
Climate change,S&P-Baseline,2030,AR,Salar de Cauchari-Olaroz,4.736765532890422
Climate change,S&P-Baseline,2030,AR,Sal de los Angeles,38.07445279923452
Climate change,S&P-Baseline,2030,CN,East Taijinar,25.57408020466833
Climate change,S&P-Baseline,2030,CN,Zhabuye,17.105087194427185
Climate change,S&P-Baseline,2030,CN,Chaerhan,33.286848352819554
Climate change,S&P-Baseline,2035,CL,Salar de Atacama,2.9148498084285865
Climate change,S&P-Baseline,2035,AR,Salar de Olaroz,6.397933985955176
Climate change,S&P-Baseline,2035,AR,Fenix,26.745672454874462
Climate change,S&P-Baseline,2035,AR,Salar de Cauchari-Olaroz,4.464453318377198
Climate change,S&P-Baseline,2035,AR,Sal de los Angeles,36.52402271265777
Climate change,S&P-Baseline,2035,CN,East Taijinar,23.751208921075403
Climate change,S&P-Baseline,2035,CN,Zhabuye,16.67879030960884
Climate change,S&P-Baseline,2035,CN,Chaerhan,31.180340355113884
Climate change,S&P-Baseline,2035,US,Silver Peak,1.9192493890302407
Climate change,S&P-Ambitious,2020,AR,Salar de Olaroz,7.050940058806722
Climate change,S&P-Ambitious,2020,AR,Fenix,29.63884386985609
Climate change,S&P-Ambitious,2020,US,Silver Peak,2.795243548509153
Climate change,S&P-Ambitious,2020,CN,East Taijinar,29.159056638264993
Climate change,S&P-Ambitious,2020,CN,Chaerhan,37.10567842815364
Climate change,S&P-Ambitious,2020,CL,Salar de Atacama,3.6383637584400708
Climate change,S&P-Ambitious,2025,BO,Salar de Uyuni,33.34672587735723
Climate change,S&P-Ambitious,2025,CL,Salar de Atacama,3.301261222457792
Climate change,S&P-Ambitious,2025,CN,East Taijinar,27.53546183893031
Climate change,S&P-Ambitious,2025,CN,Lakkor Tso,44.790670316391186
Climate change,S&P-Ambitious,2025,CN,Qinghai Yiliping,34.10343471507669
Climate change,S&P-Ambitious,2025,CN,Zhabuye,17.531395025675558
Climate change,S&P-Ambitious,2025,CN,Chaerhan,35.34815468113553
Climate change,S&P-Ambitious,2025,US,Silver Peak,2.5938688378930097
Climate change,S&P-Ambitious,2025,AR,Salar del Rincon,37.18475173541122
Climate change,S&P-Ambitious,2025,AR,Salar de Olaroz,6.882718524075722
Climate change,S&P-Ambitious,2025,AR,Salar de Centenario,32.250032143077156
Climate change,S&P-Ambitious,2025,AR,Fenix,28.969884351723408
Climate change,S&P-Ambitious,2025,AR,Salar de Cauchari-Olaroz,5.038733423271198
Climate change,S&P-Ambitious,2025,AR,Sal de los Angeles,39.89913197789623
Climate change,S&P-Ambitious,2025,AR,Tres Quebradas,5.47440141191821
Climate change,S&P-Ambitious,2030,US,Silver Peak,2.173927026171204
Climate change,S&P-Ambitious,2030,CL,Maricunga,6.179390490224108
Climate change,S&P-Ambitious,2030,CL,Salar de Atacama,3.043050335035354
Climate change,S&P-Ambitious,2030,BO,Salar de Uyuni,31.427934591177973
Climate change,S&P-Ambitious,2030,DE,Upper Rhine Graben,17.854957878850374
