scenario,region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
S&P-Ambitious,AR,31.723,31.396,36.45,47.393,75.979,122.097,154.81199999999998,170.742,190.904,231.839,269.775,285.15,320.193,350.11199999999997,403.924,452.424
S&P-Ambitious,BO,0.0,0.0,0.0,0.0,2.064,3.45,7.5,11.55,13.75,17.2,25.4,39.0,55.0,59.5,59.5,59.5
S&P-Ambitious,CL,112.2,148.4,205.5,218.5,248.6,280.781,278.808,276.618,288.343,299.139,316.199,320.95899999999995,320.97600000000006,319.583,317.891,316.797
S&P-Ambitious,CN,22.956000000000003,38.793,50.734,58.632999999999996,75.301,93.95635,113.04100000000001,124.29125,128.03425,140.614,156.957,171.20000000000002,176.22425,176.22425,176.22425,176.22425
S&P-Ambitious,DE,0.0,0.0,0.0,0.0,0.0,0.0,22.176000000000002,22.176000000000002,8.8704,17.7408,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002
S&P-Ambitious,US,10.0,5.0,5.0,5.0,5.0,3.357,3.399,3.376,3.518,3.659,3.573,4.633,5.264,6.552,7.84,7.84
S&P-Baseline,AR,31.723,31.396,36.45,47.393,75.979,122.097,154.81199999999998,165.759,174.93099999999998,202.886,234.924,250.299,277.842,300.26099999999997,341.573,372.573
S&P-Baseline,BO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,CL,112.2,148.4,205.5,218.5,248.6,280.781,278.808,276.618,288.343,299.139,307.845,306.054,304.56100000000004,303.168,301.476,300.382
S&P-Baseline,CN,22.956000000000003,32.822,42.772999999999996,49.179,65.84700000000001,84.50235,103.587,114.83725000000001,118.58025,131.16,147.503,161.746,166.77025,166.77025,166.77025,166.77025
S&P-Baseline,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,US,10.0,5.0,5.0,5.0,5.0,3.357,3.399,3.376,3.518,3.659,3.573,4.633,5.264,6.552,7.84,7.84
S&P-Very Ambitious,AR,31.723,31.396,36.45,47.393,75.979,122.097,154.81199999999998,185.72,225.082,291.339,347.875,368.25,408.293,438.212,492.024,545.524
S&P-Very Ambitious,BO,0.0,0.0,0.0,0.0,2.064,3.45,7.5,11.55,13.75,17.2,25.4,39.0,55.0,59.5,59.5,59.5
S&P-Very Ambitious,CL,112.2,148.4,205.5,218.5,248.6,280.781,278.808,276.618,288.343,299.139,316.199,320.95899999999995,320.97600000000006,319.583,317.891,316.797
S&P-Very Ambitious,CN,22.956000000000003,38.793,50.734,58.632999999999996,75.301,93.95635,113.04100000000001,124.29125,128.03425,140.614,156.957,171.20000000000002,176.22425,176.22425,176.22425,176.22425
S&P-Very Ambitious,DE,0.0,0.0,0.0,0.0,0.0,0.0,22.176000000000002,22.176000000000002,8.8704,17.7408,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002
S&P-Very Ambitious,US,10.0,5.0,5.0,5.0,5.0,3.357,3.399,3.376,3.518,3.659,3.573,4.633,5.264,6.552,7.84,7.84
