scenario,technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
S&P-Ambitious,DLE,42.757,57.578,74.321,81.13300000000001,111.20755,182.356,177.03725,206.26725,224.42225000000002,264.42425000000003,299.10525,331.66825,379.98025,389.48025,389.48025,389.48025
S&P-Ambitious,Evaporative ponds,112.2,148.4,202.5,221.5,282.711,332.83399999999995,351.06899999999996,361.433,372.262,432.624,472.509,503.06,510.57,510.18,511.773,503.21500000000003
S&P-Ambitious,Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,22.176000000000002,22.176000000000002,22.176000000000002,8.8704,17.7408,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002
S&P-Ambitious,Ion exchangers,21.922,17.611,17.863,21.703,33.8038,49.3476,56.586,56.547,56.549,56.495000000000005,56.510000000000005,53.713,53.729,55.262,56.79600000000001,56.79600000000001
S&P-Ambitious,Modelled as average,0.0,0.0,0.0,0.0,0.055,18.336,23.11,30.53,21.53,27.86,31.374000000000002,32.474000000000004,33.354,33.53,35.466,36.434
S&P-Baseline,DLE,42.757,51.607,66.36,70.293,82.70400000000001,97.18,112.40899999999999,127.63799999999999,138.617,159.45499999999998,176.848,193.267,229.579,235.579,235.579,235.579
S&P-Baseline,Evaporative ponds,112.2,148.4,202.5,221.5,271.79200000000003,312.42699999999996,325.679,326.575,332.404,368.399,376.399,378.399,378.399,378.399,377.006,369.443
S&P-Baseline,Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Baseline,Ion exchangers,21.922,17.611,17.863,21.703,33.8038,49.3476,56.586,56.547,56.549,56.495000000000005,56.510000000000005,53.713,53.729,55.262,56.79600000000001,56.79600000000001
S&P-Baseline,Modelled as average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S&P-Very Ambitious,DLE,42.757,57.578,74.321,81.17399999999999,111.41355,182.612,177.29325,221.50125,258.60025,321.92425000000003,361.58325,416.66825,477.48025,489.48025,489.48025,494.48025
S&P-Very Ambitious,Evaporative ponds,112.2,148.4,202.5,221.5,282.711,332.83399999999995,351.069,361.433,372.262,432.624,488.10900000000004,518.66,526.17,525.78,527.3729999999999,518.8149999999999
S&P-Very Ambitious,Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,22.176000000000002,22.176000000000002,22.176000000000002,8.8704,17.7408,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002
S&P-Very Ambitious,Ion exchangers,21.922,17.611,17.863,21.703,33.8038,49.3476,56.586,56.547,56.549,56.495000000000005,56.51,53.713,53.729,55.262,56.79600000000001,56.79600000000001
S&P-Very Ambitious,Modelled as average,0.0,0.0,0.0,0.0,5.031,43.248999999999995,52.998999999999995,80.776,102.566,122.40599999999999,152.308,149.408,162.288,166.464,170.4,159.368
