Project name,Impact,SA scenario,Total
Maricunga,Climate change,2035_BAT_Fuel mix_15CCS,5.097611452581118
Tres Quebradas,Climate change,2035_BAT_Fuel mix_15CCS,4.065062296707812
Salar de Pastos Grandes,Climate change,2035_BAT_Fuel mix_15CCS,11.009605988002436
Salar de Arizaro,Climate change,2035_BAT_Fuel mix_15CCS,39.63554583333898
Upper Rhine Graben,Climate change,2035_BAT_Fuel mix_15CCS,3.084781430047712
East Taijinar,Climate change,2035_BAT_Fuel mix_15CCS,13.382367590579243
Silver Peak,Climate change,2035_BAT_Fuel mix_15CCS,1.8869111248795831
Salar del Rincon,Climate change,2035_BAT_Fuel mix_15CCS,16.632050156411733
Salar del Hombre Muerto North,Climate change,2035_BAT_Fuel mix_15CCS,8.6377992445864
Zhabuye,Climate change,2035_BAT_Fuel mix_15CCS,2.888526512159035
Salar de Atacama,Climate change,2035_BAT_Fuel mix_15CCS,3.003465014322073
Chaerhan,Climate change,2035_BAT_Fuel mix_15CCS,23.369371546047347
Sal de los Angeles,Climate change,2035_BAT_Fuel mix_15CCS,29.312718498322088
Sal de Vida,Climate change,2035_BAT_Fuel mix_15CCS,3.4158798648057753
Pozuelos,Climate change,2035_BAT_Fuel mix_15CCS,20.304674020677233
Lakkor Tso,Climate change,2035_BAT_Fuel mix_15CCS,30.41510198124972
Salar de Uyuni,Climate change,2035_BAT_Fuel mix_15CCS,22.67463791722593
Qinghai Yiliping,Climate change,2035_BAT_Fuel mix_15CCS,22.442202535248086
Salar de Centenario,Climate change,2035_BAT_Fuel mix_15CCS,21.3771189417103
Salar de Olaroz,Climate change,2035_BAT_Fuel mix_15CCS,2.8788090230198877
Kachi,Climate change,2035_BAT_Fuel mix_15CCS,29.96211727601013
Fenix,Climate change,2035_BAT_Fuel mix_15CCS,21.840506944824845
Salar de Cauchari-Olaroz,Climate change,2035_BAT_Fuel mix_15CCS,6.61015842063793
Salar de Tolillar,Climate change,2035_BAT_Fuel mix_15CCS,30.19699545937082
Maricunga,Water scarcity,2035_BAT_Fuel mix_15CCS,15.828846615713434
Tres Quebradas,Water scarcity,2035_BAT_Fuel mix_15CCS,7.449144070103019
Salar de Pastos Grandes,Water scarcity,2035_BAT_Fuel mix_15CCS,10.16955485623335
