Sum of Generación [GWh],Column Labels,,,,,,,,,,,,,,,,,,,,,
Row Labels,2025,2035,(blank),Grand Total,,,,,,,,,,,,,,,,,,
BESS 10h,0,0,,0,,,,,,,,,,,,,,,,,,
BESS 12h,0,0,,0,,,,,,,,,,,,,,,,,,
BESS 1h,2,11,,13,,,,,,,,,,,,,,,,,,
BESS 2h,301,844,,1145,,,,,,,,,,,,,,,,,,
BESS 3h,89,514,,603,,,,,,,,,,,,,,,,,,
BESS 4h,46,4099,,4145,,,,,,,,,,,,,,,,,,
BESS 5h,1219,2325,,3544,,,,,GWh,,,TWh,,,,,,,,,,
BESS 6h,373,754,,1127,,,,,2025,2035,,2025,2035,,,,,,,,,
BESS 7h,0,0,,0,,,,Coal,12277,0,,12.277,0,,12.617%,0.000%,,Production|Electricity|Hydro storage,0,6535,0%,39%
Biogas,0,0,,0,,,,Natural gas,15858,3822,,15.858,3.822,,16.297%,2.260%,,Production|Electricity|Hydro reservoir alpine,9018,4843,46%,29%
Biomasa,4348,2616,,6964,,,,Oil,990,507,,0.99,0.507,,1.017%,0.300%,,Production|Electricity|Hydro reservoir non-alpine,0,0,0%,0%
Bombeo 12h,0,6535,,6535,,,,Bioenergy,4348,2616,,4.348,2.616,,4.468%,1.547%,,Production|Electricity|Hydro reservoir tropical,0,0,0%,0%
CAES 4h,0,0,,0,,,,Nuclear,,,,0,0,,0.000%,0.000%,,Production|Electricity|Hydro run-of-river,10726,5518,54%,33%
Carbon,12277,0,,12277,,,,Hydro,19744,16896,,20,17,,20.290%,9.991%,,,19744,16896,,
Carnot,0,0,,0,,,,Wind,16567,92997,,16.567,92.997,,17.025%,54.992%,,,,,,
Co-firing,0,0,,0,,,,Solar PV,23831,42554,,23.831,42.554,,24.490%,25.164%,,,,,,
Cogeneracion,692,365,,1057,,,,Geothermal,471,386,,0.471,0.386,,0.484%,0.228%,,,,,,
Condensador síncrono,0,0,,0,,,,Solar CSP,501,419,,0.501,0.419,,0.515%,0.248%,,,,,,
CSP 13h,0,0,,0,,,,Cogeneration,692,365,,0.692,0.365,,0.711%,0.216%,,,,,,
CSP 6h,0,0,,0,,,,BESS,2030,8547,,2.03,8.547,,2.086%,5.054%,,,,,,
CSP 9h,501,419,,920,,,,,,,,97.309,169.109,,,,,,,,,
DIesel_CA,0,2,,2,,,,,,,,,,,,,,,,,,
Eolica,16567,92997,,109564,,,,,,,,,,,,,,,,,,
ESS H2,0,0,,0,,,,,,,,,,,,,,,,,,
ESS H2-NH3,0,0,,0,,,,,,,,,,,,,,,,,,
Geotermica,471,386,,857,,,,,,,,,,,,,,,,,,
GNL_CA,2115,302,,2417,,,,,,,,,,,,,,,,,,
GNL_CC,13743,3520,,17263,,,,,,,,,,,,,,,,,,
GNLCCS,0,0,,0,,,,,,,,,,,,,,,,,,
HidraulicaEmbalse,9018,4843,,13861,,,,,,,,,,,,,,,,,,
HidraulicaPasada,10726,5518,,16244,,,,,,,,,,,,,,,,,,
MiniHidraulicaPasada,0,0,,0,,,,,,,,,,,,,,,,,,
Motor_Diesel,990,505,,1495,,,,,,,,,,,,,,,,,,
Motor_GNL,0,0,,0,,,,,,,,,,,,,,,,,,
Solar FV,23831,42554,,66385,,,,,,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,,,,,,,,,,
Grand Total,97309,169109,,266418,,,,,,,,,,,,,,,,,,
