scenario,region,variables,unit,2025,2035
NationalPlans,AR,Production|Electricity|Coal,TWh/year,2.82,0
NationalPlans,AR,Production|Electricity|Natural gas combined cycle,TWh/year,63.753,34.08188581
NationalPlans,AR,Production|Electricity|Natural gas conventional,TWh/year,16.947,9.059741797
NationalPlans,AR,Production|Electricity|Oil,TWh/year,5.92,0
NationalPlans,AR,Production|Electricity|Bioenergy,TWh/year,2.95,3.982300347
NationalPlans,AR,Production|Electricity|Nuclear PWR,TWh/year,10.8,16.59290799
NationalPlans,AR,Production|Electricity|Hydro storage,TWh/year,0.594,1.048672222
NationalPlans,AR,Production|Electricity|Hydro reservoir alpine,TWh/year,7.425,13.10840278
NationalPlans,AR,Production|Electricity|Hydro reservoir non-alpine,TWh/year,7.128,12.58406667
NationalPlans,AR,Production|Electricity|Hydro reservoir tropical,TWh/year,13.365,23.595125
NationalPlans,AR,Production|Electricity|Hydro run-of-river,TWh/year,0.594,1.048672222
NationalPlans,AR,Production|Electricity|Wind onshore,TWh/year,18.6,46.46016059
NationalPlans,AR,Production|Electricity|Solar PV,TWh/year,5.14,23.23009549
NationalPlans,AR,Production|Electricity|Geothermal,TWh/year,0,0
NationalPlans,AR,Production|Electricity|Medium to high,TWh/year,1.008,1.008
NationalPlans,AR,Production|Electricity|Low to medium,TWh/year,1.061,1.061
NationalPlans,BO,Production|Electricity|Coal,TWh/year,0,0
NationalPlans,BO,Production|Electricity|Natural gas combined cycle,TWh/year,8.51,3.9982
NationalPlans,BO,Production|Electricity|Natural gas conventional,TWh/year,0,0
NationalPlans,BO,Production|Electricity|Oil,TWh/year,0.2,0
NationalPlans,BO,Production|Electricity|Bioenergy,TWh/year,0.44,0.39982
NationalPlans,BO,Production|Electricity|Nuclear PWR,TWh/year,0,0
NationalPlans,BO,Production|Electricity|Hydro storage,TWh/year,0,0
NationalPlans,BO,Production|Electricity|Hydro reservoir alpine,TWh/year,0,0
NationalPlans,BO,Production|Electricity|Hydro reservoir non-alpine,TWh/year,0,0
NationalPlans,BO,Production|Electricity|Hydro reservoir tropical,TWh/year,0,0
NationalPlans,BO,Production|Electricity|Hydro run-of-river,TWh/year,3.8,7.9964
NationalPlans,BO,Production|Electricity|Wind onshore,TWh/year,0.28,2.79874
NationalPlans,BO,Production|Electricity|Solar PV,TWh/year,0.4,3.9982
NationalPlans,BO,Production|Electricity|Geothermal,TWh/year,0,0.79964
NationalPlans,BO,Production|Electricity|Medium to high,TWh/year,1.01,1.01
NationalPlans,BO,Production|Electricity|Low to medium,TWh/year,1.04,1.04
NationalPlans,CL,Production|Electricity|Coal,TWh/year,15.7,0
NationalPlans,CL,Production|Electricity|Natural gas combined cycle,TWh/year,8.37,2.36964
NationalPlans,CL,Production|Electricity|Natural gas conventional,TWh/year,5.13,1.45236
NationalPlans,CL,Production|Electricity|Oil,TWh/year,0.05,0.507
NationalPlans,CL,Production|Electricity|Bioenergy,TWh/year,5.03,2.616
NationalPlans,CL,Production|Electricity|Nuclear PWR,TWh/year,0,0
NationalPlans,CL,Production|Electricity|Hydro storage,TWh/year,0,6.58944
NationalPlans,CL,Production|Electricity|Hydro reservoir alpine,TWh/year,0,0
NationalPlans,CL,Production|Electricity|Hydro reservoir non-alpine,TWh/year,0,4.89984
NationalPlans,CL,Production|Electricity|Hydro reservoir tropical,TWh/year,0,0
NationalPlans,CL,Production|Electricity|Hydro run-of-river,TWh/year,19.7,5.57568
NationalPlans,CL,Production|Electricity|Wind onshore,TWh/year,11.6,92.997
NationalPlans,CL,Production|Electricity|Solar PV,TWh/year,22.2,42.554
NationalPlans,CL,Production|Electricity|Geothermal,TWh/year,0,0.386
NationalPlans,CL,Production|Electricity|Medium to high,TWh/year,1.002,1.002
NationalPlans,CL,Production|Electricity|Low to medium,TWh/year,1.061,1.061
NationalPlans,GLO,Efficiency|Quicklime|PFRK|Limestone,scalar,1,1.02
NationalPlans,GLO,Efficiency|Quicklime|PFRK|Coal heat,scalar,1,1.927
NationalPlans,GLO,Efficiency|Quicklime|PFRK|Natural gas heat,scalar,1,0.886
NationalPlans,GLO,Efficiency|Quicklime|PFRK|Waste heat,scalar,1,1.13
NationalPlans,GLO,Efficiency|Quicklime|PFRK|Oil heat,scalar,1,1.927
NationalPlans,GLO,Efficiency|Quicklime|PFRK|Biomass heat,scalar,1,0.178
NationalPlans,GLO,Efficiency|Quicklime|PFRK|Electricity,scalar,1,1.833
NationalPlans,GLO,Efficiency|Quicklime|PFRK|Waste inert,scalar,1,3.059
NationalPlans,GLO,Efficiency|Quicklime|PFRK with CCS|Limestone,scalar,1,1.02
NationalPlans,GLO,Efficiency|Quicklime|PFRK with CCS|Coal heat,scalar,1,1.927
NationalPlans,GLO,Efficiency|Quicklime|PFRK with CCS|Natural gas heat,scalar,1,0.886
NationalPlans,GLO,Efficiency|Quicklime|PFRK with CCS|Waste heat,scalar,1,1.13
NationalPlans,GLO,Efficiency|Quicklime|PFRK with CCS|Oil heat,scalar,1,1.927
NationalPlans,GLO,Efficiency|Quicklime|PFRK with CCS|Biomass heat,scalar,1,0.178
NationalPlans,GLO,Efficiency|Quicklime|PFRK with CCS|Electricity,scalar,1,1.141
NationalPlans,GLO,Efficiency|Quicklime|PFRK with CCS|Waste inert,scalar,1,3.059
NationalPlans,GLO,Production|Quicklime|PFRK,share,1,0.85
NationalPlans,GLO,Production|Quicklime|PFRK with CCS,share,0,0.15
NationalPlans,GLO,Efficiency|Soda ash|Solvay process|Limestone,scalar,1,1.182
NationalPlans,GLO,Efficiency|Soda ash|Solvay process|Sodium chloride,scalar,1,1.067
NationalPlans,GLO,Efficiency|Soda ash|Solvay process|Ammonia makeup,scalar,1,1.813
NationalPlans,GLO,Efficiency|Soda ash|Solvay process|Coke,scalar,1,1.136
NationalPlans,GLO,Efficiency|Soda ash|Solvay process|Coal heat,scalar,1,15
NationalPlans,GLO,Efficiency|Soda ash|Solvay process|Natural gas heat,scalar,1,0.65
NationalPlans,GLO,Efficiency|Soda ash|Solvay process|Biomass heat,scalar,1,0.063
NationalPlans,GLO,Efficiency|Soda ash|Solvay process|Electricity,scalar,1,1.8
NationalPlans,GLO,Efficiency|Soda ash|Solvay process|Waste inert,scalar,1,4.417
NationalPlans,GLO,Efficiency|Soda ash|Solvay process|Water withdrawal,scalar,1,1.5
NationalPlans,GLO,Efficiency|Soda ash|Solvay process|Water cooling,scalar,1,1.5
NationalPlans,GLO,Efficiency|Soda ash|Solvay process|Water evaporation,scalar,1,1.483
NationalPlans,GLO,Efficiency|Soda ash|Solvay process with CCS|Limestone,scalar,1,1.182
NationalPlans,GLO,Efficiency|Soda ash|Solvay process with CCS|Sodium chloride,scalar,1,1.067
NationalPlans,GLO,Efficiency|Soda ash|Solvay process with CCS|Ammonia makeup,scalar,1,1.813
NationalPlans,GLO,Efficiency|Soda ash|Solvay process with CCS|Coke,scalar,1,1.136
NationalPlans,GLO,Efficiency|Soda ash|Solvay process with CCS|Coal heat,scalar,1,14.593
NationalPlans,GLO,Efficiency|Soda ash|Solvay process with CCS|Natural gas heat,scalar,1,0.632
NationalPlans,GLO,Efficiency|Soda ash|Solvay process with CCS|Biomass heat,scalar,1,0.061
NationalPlans,GLO,Efficiency|Soda ash|Solvay process with CCS|Electricity,scalar,1,1.625
NationalPlans,GLO,Efficiency|Soda ash|Solvay process with CCS|Waste inert,scalar,1,4.417
NationalPlans,GLO,Efficiency|Soda ash|Solvay process with CCS|Water withdrawal,scalar,1,1.5
NationalPlans,GLO,Efficiency|Soda ash|Solvay process with CCS|Water cooling,scalar,1,1.5
NationalPlans,GLO,Efficiency|Soda ash|Solvay process with CCS|Water evaporation,scalar,1,1.483
NationalPlans,GLO,Efficiency|Soda ash|Trona process|Coal heat,scalar,1,15
NationalPlans,GLO,Efficiency|Soda ash|Trona process|Natural gas heat,scalar,1,0.65
NationalPlans,GLO,Efficiency|Soda ash|Trona process|Biomass heat,scalar,1,0.063
NationalPlans,GLO,Efficiency|Soda ash|Trona process|Water withdrawal,scalar,1,1.176
NationalPlans,GLO,Efficiency|Soda ash|Trona process|Water evaporation,scalar,1,1.176
NationalPlans,GLO,Production|Soda ash|Solvay process,share,0.676,0.525
NationalPlans,GLO,Production|Soda ash|Solvay process with CCS,share,0,0.093
NationalPlans,GLO,Production|Soda ash|Trona process,share,0.324,0.382
NationalPlans,GLO,Production|Sodium hydroxide|Membrane cell,share,0.828,1
NationalPlans,GLO,Production|Sodium hydroxide|Diaphragm cell,share,0.148,0
NationalPlans,GLO,Production|Sodium hydroxide|Mercury cell,share,0.024,0
NationalPlans,GLO,Production|Chlorine|Membrane cell,share,0.835,1
NationalPlans,GLO,Production|Chlorine|Diaphragm cell,share,0.142,0
